SKU,Product Name,Price,MRP,Discount,Star Rating,Size,Net Quantity,Key Features,Image URL
FHCOU1SBSN52,Octet ES Underlight Special Finish Ceiling Fan,16 139.00,25 740.00,Not Available,100%,1320 mm (Brushed Nickel),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcou1sbsn52_2.jpg
FHCOU1SAWW52,Octet ES Special Finish Ceiling Fan,16 139.00,25 740.00,Not Available,100%,1320 mm (Walnut Black Nickel),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcou1saww52.jpg
FHCXT1SGRY48,Exter Decorative Ceiling Fan,2 619.00,4 270.00,Not Available,60%,1200 mm (Grey),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcxt1sgry48.jpg
FHCVD1SMCW48,Eva Decorative Ceiling Fan,3 959.00,6 320.00,Not Available,60%,1200 mm (Metallic Cream Wicker),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcvd1smcw48.jpg
FHCTR1SACU24,EP Trendy ES Special Finish Ceiling Fan,4 729.00,7 640.00,Not Available,100%,600 mm (Antique Copper),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhctr1sacu24_1.jpg
FHCEN1SPWH48,Enticer Decorative Ceiling Fan,3 369.00,6 140.00,Not Available,60%,1200 mm (Pearl White Chrome),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcen1spwh48.jpg
FHCBH5SPWT48P,Stealth Air BLDC+ Ceiling Fan,7 609.00,12 130.00,Not Available,95%,1200 mm (Pearl White),1 N,"The most silent BLDC fan with Premium Look and Finish with only 52 dB* whisper quiet Silence level and 245 m³/min Air Delivery | 5-Star Rated BLDC fan delivering powerful airflow, uses 50 % less electricity than conventional fans, saves up to ‚¹ 1900* annually. | Regulator Compatible with maximum Energy Saving via BLDC motor technology | 40 W Power Consumption in peak speed | Downrod cover | ABS Plastic blades | Superior Air Delivery of 245 m³/min | Stealth AIR BLDC+ with Regulator Compatibility | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/s/t/stealth_air_bldc_ceiling_fan.jpg
FHCDD1SWHT48,Drove Decorative Ceiling Fan,3 109.00,4 960.00,Not Available,100%,1200 mm (White),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcdd1swht48.jpg
FHCUF1SBAN48,Florence Under Light Ceiling Fan,11 399.00,19 120.00,Not Available,95%,1200 mm (White Nickel),1 N,100 % Copper Wire Winding Motor | Color : White Nickel | Premium Antique Looks with 4 lamp shades | Guarantee : 2 Year | All weather fan with dual side rotation | Contemporary wood finish to match home decor | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcuf1sban48_star.jpg
FHCES5SWHT48,ES 50 Regular Ceiling Fan,2 569.00,4 680.00,Not Available,80%,1200 mm (White),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 2 Star Rated | Guarantee : 2 Year | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhces5swht48_1__1.jpg
FHCSV1SBRN48,Samraat ES Regular Ceiling Fan,2 469.00,4 120.00,Not Available,100%,1200 mm (Brown),1 N,"Air Delivery & RPM : 230 m³/min Air Delivery, 390 Revolution per minute | Color : Brown | Wattage : 55 W | Guarantee : 2 Year | Star Rating : 1 Star | ",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcsv1sbrn48_star.jpg
FHCRM1SBRN48,Artemis Decorative Ceiling Fan,3 709.00,5 910.00,Not Available,80%,1200 mm (Brown),1 N,Sweep size : 1200 mm | Color : Brown | Guarantee : 2 Year | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/m/a/main_images_7__1.jpg
FHCAM1SPBR48E,Ambrose Decorative Ceiling Fan,3 099.00,4 940.00,Not Available,100%,1200 mm (Brown),1 N,Sweep size : 1200 mm | Color : Brown | Guarantee : 2 Year | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcam1spbr48e_1.jpg
FHCXE1SMBL48,Xpress Air Regular Ceiling Fan,2 149.00,3 430.00,Not Available,100%,1200 mm (Matt Black),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcxe1smbl48_1.jpg
FHCBG1SWPH48,Stealth Neo Special Finish Ceiling Fan,7 599.00,12 370.00,Not Available,80%,1200 mm (Walnut Mist),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcbg1swph48_1_1.jpg
FHCSRHSWHT36,Speedster HS Regular Ceiling Fan,2 519.00,4 010.00,Not Available,80%,900 mm (White),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcsrhswht36_1.jpg
FHCXT1SGRY48,Exter Decorative Ceiling Fan,2 619.00,4 270.00,Not Available,60%,1200 mm (Grey),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcxt1sgry48.jpg
FHCVD1SMCW48,Eva Decorative Ceiling Fan,3 959.00,6 320.00,Not Available,60%,1200 mm (Metallic Cream Wicker),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcvd1smcw48.jpg
FHCTR1SACU24,EP Trendy ES Special Finish Ceiling Fan,4 729.00,7 640.00,Not Available,100%,600 mm (Antique Copper),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhctr1sacu24_1.jpg
FHCEN1SPWH48,Enticer Decorative Ceiling Fan,3 369.00,6 140.00,Not Available,60%,1200 mm (Pearl White Chrome),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcen1spwh48.jpg
FHCDD1SWHT48,Drove Decorative Ceiling Fan,3 109.00,4 960.00,Not Available,100%,1200 mm (White),1 N,Induction Motor | ISI Marked | 100 % Copper wire motor | 1 Star Rated | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcdd1swht48.jpg
FHCSV1SSBW48,Samraat Regular Ceiling Fan,2 469.00,4 120.00,Not Available,95%,1200 mm (Smoke Brown),1 N,Color : Smoke Brown | Guarantee : 2 Year | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/h/fhcsv1ssbw48_1.jpg
FRCXB5SMBL48,Energex BLDC Ceiling Fan,2 800.00,4 410.00,Not Available,95%,1200 mm (Matt Black),1 N,5 Star Rating | Low Power Consumption : 33 W | High Air Delivery : 220 m³/min | Speed : 350 Revolution per minute | BLDC Motor | 360° RF Remote for all Direction Sensing | Sleek and Milimistic Design | Wider Blade for Wide Air Spread | Rust Proof Fan | Aluminium Body and Blade for Longevity | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/r/e/reo_energex_fan-_matte_black_remot.jpg
FRCVYE1BRN48,Reo Vaayu Ceiling Fan,1 650.00,2 520.00,Not Available,100%,1200 mm (Brown),1 N,High Speed | Low Power Consumption : 48 W | High Air Delivery : 220 m³/min | Strong & Powerful motor | Look: Simple and elegant design | Star Rating: 1 Star | Wider Blade for Wide Air Spread | Long Life and Durable | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/r/frcvye1brn48_main_1.jpg
FRCTJE1BRN36,Reo Tejas ES Ceiling Fan,1 910.00,3 030.00,Not Available,80%,900 mm (Brown),1 N,High Speed | Low Power Consumption : 39 W | High Air Delivery : 140 m³/min | Strong & Powerful Copper motor | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/r/frctje1brn36_main.jpg
FRCUTE1BRN36,Reo Utsav ES Ceiling Fan,1 790.00,2 810.00,Not Available,95%,900 mm (Brown),1 N,High Speed | Low Power Consumption : 39 W | High Air Delivery : 140 m³/min | Strong & Powerful Copper motor | Look: Simple and elegant design | Star Rating : 1 Star | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/r/frcute1brn36_main_1.jpg
FRCUTE1BRN24,Reo Utsav ES Ceiling Fan,1 740.00,2 730.00,Not Available,95%,600 mm (Brown),1 N,High Speed | Low Power Consumption : 57 W | High Air Delivery 112 m³/min | Sweep Size : 600 mm | Look: Simple and elegant design | ,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/r/frcute1brn24_main.jpg
